,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-223.41951,70.561,-8.257595,-66.040825,-32.90572,-25.50959,-44.41362,-13.273337,-4.7526226,29.412083,-16.659159,-17.030626,23.834263,6.401286,-5.4301286,43.94057,7.6397424,-7.746855,-10.3171625,-9.234079,-0.47287497,34.02575,-30.798285,13.93931,-32.30279,28.869019,-9.051606,-16.26277,12.341993,10.814134,30.136097,7.356756,-0.7830062,-26.827196,-10.04205,-15.244082,11.345953,1.5383185,-19.577957,19.06806,-17.57346,13.616553,-16.533335,-5.6248384,3.6352134,13.45117,20.779022,-5.2654777,8.11242,16.542585,-18.136375,-13.967026,3.8997362,7.3587675,14.743885,4.797246,0.64781195,-0.5836818,9.131275,-4.8634377,1.9110886,-1.1118075,10.577281,-17.610594,-12.089221,-0.9928408,-11.300019,2.5955753,4.6602674,11.7238455,-3.495931,18.251753,9.7106285,-26.9914,-10.967082,0.6384139,-1.4219257,-22.130207,-3.5499294,-1.2471082,0.6351605,0.5039041,-1.5367235,8.626986,-2.469649,3.598079,10.851226,14.41042,-8.47219,-9.361121,4.0188465,-12.968469,0.033986185,-1.8376695,2.3279529,-6.7321763,-6.852523,3.716445,7.4814706,13.449487,-10.188997,6.870276,-1.5612885,1.1583276,-5.387595,-2.513532,1.3499019,30.433405,-13.151211,-8.074819,-13.20631,2.0240304,-11.810581,9.692005,-7.3280735,1.0312139,3.5108166,0.8729436,-13.279375,-10.503226,1.8210056,16.162754,-6.6109123,1.8286669,3.2148306,13.89876,1.9511379,-8.798102
1,-15.949547,-197.4103,-211.90833,44.63007,29.717983,-47.32702,-36.3123,-20.142437,-30.084858,45.910763,-5.9962482,-53.77223,-85.55478,2.6303303,-23.57739,3.8499188,7.943351,21.921864,-27.315924,42.721924,-24.240253,-3.8152394,-5.55606,-19.503132,-1.8301601,16.77453,-15.2805395,35.031654,-22.981087,29.429918,19.149826,-4.918983,-6.2290707,29.989288,-20.993156,20.81662,18.09105,5.5505867,-8.094831,9.4630785,-14.121004,26.53846,67.70666,28.56644,12.260698,-21.66888,4.3316245,19.646807,-2.488365,0.76322997,18.737583,9.195341,15.060701,-27.71608,0.051135544,-4.972903,-0.95165277,-13.789021,5.6076183,0.6486482,12.112454,17.688887,5.7905993,-15.247099,33.938194,8.056919,11.432065,3.7463875,-7.3821864,6.5295963,5.287559,13.874118,-12.599866,-18.20217,1.9326963,-10.0571785,-2.6798606,0.062588274,7.4779115,2.351334,-13.199769,3.9360015,1.8861599,-16.171703,-12.737299,-3.6836278,12.515538,-0.5429116,17.313581,1.3890115,21.555597,4.109222,-6.5211034,-5.176919,-0.39168093,-0.21387221,-13.097126,-7.096886,1.362019,-7.02312,11.772326,-4.02267,12.61762,-6.593318,11.241576,3.586168,2.8394544,9.0715275,-1.149521,-2.4079833,-3.3958144,-8.24498,-13.372596,-1.283217,0.5893542,7.5854545,-12.409601,8.470458,2.6845868,11.173341,-6.365088,-6.9638834,-4.864358,-3.6266885,-5.645028,-16.308542,-10.13096,3.0022643
2,208.38232,-219.14,-82.29869,11.705215,9.602411,-38.616673,83.34528,-64.116325,-4.6474624,-81.74495,-31.910105,19.487593,-18.410973,-4.659052,5.260924,-10.380577,32.168015,35.096367,11.193921,17.865604,51.98367,5.296709,4.7280164,39.073196,-6.8621106,15.796764,35.48598,2.9346955,11.47845,-31.53526,-16.166046,-7.985227,29.432137,3.6718633,-25.817589,-26.707584,3.7929242,-29.174927,-13.286506,26.432724,14.6286545,-2.157133,-3.3465698,29.25734,-9.363032,18.99346,5.5381045,-16.477728,8.459148,-0.08757183,0.18061674,30.443272,25.908522,1.425026,21.07793,-12.263747,-6.619066,3.619286,20.317223,-16.404009,-6.8349566,-4.952459,-12.409658,-2.0312002,5.821251,-0.49905458,-1.8762196,8.125653,-9.692623,8.279532,-12.216058,-6.5334806,-4.70416,0.5884314,-4.858039,5.399773,-10.628147,-20.151981,-9.309758,-0.02133653,-5.641586,-4.789217,-4.867155,-18.817646,-9.010105,-2.1780396,-1.0529947,-1.760659,9.585669,14.107803,-12.636797,9.624304,11.427684,-16.579306,0.17609449,15.275131,5.8374205,-9.320109,-11.633898,3.9266834,2.0314388,2.4837155,-4.8763256,2.9325328,15.847673,-1.9866592,-3.8279862,1.264744,10.323409,11.731123,-5.195027,1.6619669,-1.6201547,5.7283278,-10.736911,3.6132493,-5.786176,8.712795,-13.048564,2.6525621,0.85039145,-8.06061,1.9885284,7.874296,2.477983,-1.8258874,8.874111,-1.4145287
3,128.61906,-183.1727,-285.91196,-59.74422,-58.637634,83.45384,34.285873,55.784645,16.296444,-93.66697,58.8519,-10.42387,69.77646,-16.332169,0.36190298,-57.334255,22.014696,-1.3009478,6.051044,-91.97219,-32.762356,16.28687,75.80124,4.3519497,-30.606058,67.80564,-5.523955,22.910122,-29.551687,31.473776,2.50103,-0.044630785,8.273417,19.26117,3.1916602,-9.289106,-8.106174,-8.058809,19.784006,-27.511543,-14.143291,-7.9921784,1.2742699,-8.390918,-2.1840546,-8.000982,-4.2996244,13.103943,-11.550046,-8.198595,0.5223949,5.182334,-7.9173274,-5.577354,16.170229,-10.816364,-7.4867153,-4.4503484,1.2440803,-13.98362,6.754423,1.4400111,14.25946,9.732023,-11.826708,-10.261637,-9.710094,3.5046153,-17.947876,5.944222,-9.295073,-4.599225,-7.3459573,-0.23676999,-6.072727,-2.3768225,3.2304564,2.957301,-12.666334,-0.2994704,6.358531,-4.9561634,6.4358625,-5.5330935,7.3435493,-6.386708,-5.3514876,6.697342,-2.6414144,-1.2378856,-1.2267176,-1.0465924,1.005584,2.4160044,-3.8702173,8.692158,0.8595518,0.9183081,2.6363406,-2.814097,-5.358357,3.1077304,3.0135195,-1.3713857,1.9937227,-1.8975055,-0.6181388,1.8662409,-6.868663,4.9878907,5.4548717,-2.7252533,-3.2525327,0.7292961,4.5442886,7.299104,1.7781525,0.10721855,3.5658753,9.18156,-5.717997,5.8820796,-0.6478105,-9.5323305,-5.099699,0.6832848,-4.7142615,-3.8341658
4,-196.64894,89.751564,-51.04638,35.570168,225.93962,29.676054,-67.16506,73.93774,56.29078,8.517746,-48.16236,-3.2592134,14.177284,57.413334,-1.2975608,-18.189163,7.316915,36.87545,-62.11209,-20.723864,-15.524533,46.256264,-52.314182,-67.206665,-41.92583,16.57598,13.562323,31.5605,44.159634,-27.111607,-16.057285,-17.510906,-23.628716,25.997765,11.659146,25.07513,-27.95395,5.2502275,10.205959,-15.7050295,-15.31796,-46.848267,15.430777,16.85117,60.85486,12.144717,-18.577374,-3.8107727,7.7496967,-35.553127,-8.015618,58.088657,40.51381,14.358918,22.210482,11.48434,14.083321,53.572018,-17.822926,-0.3259019,28.363787,21.034113,-3.822182,-9.980993,-8.992751,24.762037,-14.32415,-18.774698,-4.89189,17.605623,9.930906,-2.6413155,-11.38497,-13.289681,15.493376,-20.703531,4.4204593,-13.297851,6.031205,5.7492967,-9.199492,31.60201,-21.619497,-18.636076,7.1649957,-26.594906,-13.959864,-6.6559553,-16.889645,-0.85225713,18.889477,2.5160334,-5.224331,9.320729,5.5577335,1.5007836,10.707103,0.1987233,-6.072846,6.827251,7.107643,11.291488,-5.0756774,19.268084,-7.510843,7.235133,-0.51807237,-0.16913734,5.7288632,12.335573,14.131335,7.3907337,0.58640873,3.654367,6.979104,-0.27023193,0.6319283,2.1524098,3.420063,-2.7103417,3.152769,18.962475,7.0953484,-3.6840334,3.666966,4.2516146,0.7055512,8.465659
5,-87.03232,25.098734,-68.20117,-176.81131,-59.947025,-24.053196,-13.190272,-8.721114,17.683954,14.225201,-58.7239,-93.2668,-18.936422,2.4369256,-31.480747,60.246784,-30.462051,6.668012,-29.054726,11.907977,-20.730122,5.606985,54.484375,1.0340283,2.180735,-7.656382,17.111618,-47.95181,42.357224,28.729494,45.826538,7.7932453,-16.607735,-5.327015,-27.245695,-8.162106,2.9709966,2.337913,21.523336,-13.314832,-18.720184,23.882668,-0.04095714,-17.982222,13.988874,-3.3748848,26.00663,-12.094036,-26.5361,-11.835922,3.9444926,-3.4712753,3.2596684,16.628084,34.51649,9.604474,0.9508749,4.928124,-5.743276,5.4293084,10.632793,4.5555663,-3.7813277,-4.5318604,-10.582089,-4.4383917,14.92611,21.747389,2.77781,-27.04532,-3.2864187,9.763221,-6.1496625,-5.7335057,8.046962,24.644236,5.722042,-3.230493,7.217576,9.368906,-14.721008,8.044918,1.1960193,3.7871952,-3.173742,0.8628417,-4.748383,9.458894,9.785522,-12.205433,3.6404665,-3.6493273,3.3156123,14.139001,0.076131836,-3.9962528,14.945845,-27.39632,-9.252028,6.605412,-21.088243,-1.1695935,8.299193,9.177147,-16.670057,0.38791233,-0.25416178,9.618286,2.8115735,-20.641977,-2.2390084,0.7886074,1.404596,-8.399222,6.471896,-1.5597926,0.19264896,-1.3188574,2.3432915,2.9294918,2.8132653,-0.69871914,7.59854,-5.094403,-5.2780356,-12.487226,-12.300419,2.374485
6,71.39681,-210.16644,-200.0728,93.90644,-83.60085,-10.00105,-23.939425,-11.029055,58.451412,-35.990276,29.351675,-41.341614,-8.960273,41.47547,3.6036904,26.731997,27.525858,-20.627714,-46.944866,-29.193642,15.808472,-13.9016485,-50.378944,-14.923319,8.946272,-11.21652,-6.409896,-31.791441,-11.277606,-8.932463,1.0014111,21.508766,-6.5819187,8.390685,-9.845106,22.432257,16.383013,-21.701551,-17.175213,40.603703,21.164467,-6.5869813,-3.5305433,19.395983,-13.184341,-8.659161,-1.8086694,2.7863133,-15.772159,0.3166586,37.617966,12.24401,-8.495327,9.355505,11.377753,-0.05605121,0.5453752,20.24994,-4.5336995,-6.4277678,-0.76047343,-17.455774,41.26206,6.9934607,14.95478,-12.587507,-7.093149,10.818408,-4.310419,15.586465,5.3338485,-13.856374,-9.008941,-4.8948197,-10.471233,-11.459954,-2.5095274,32.22936,-11.511185,2.2208788,6.459431,12.84098,-0.17527737,1.4769828,9.448663,-0.9244147,-16.070652,-1.3130043,-9.355259,-5.1340466,13.113771,-1.52956,13.150156,8.478669,-6.9836483,4.094124,1.7376899,-4.2336483,1.6924255,1.1692805,1.2890196,13.803309,6.3144555,-8.043752,-11.48335,-1.7648389,-5.0526237,23.018839,-4.3544755,13.008829,-23.776243,-7.670016,9.922275,1.0959729,-3.6939483,8.917803,-0.91971654,3.960628,1.7893246,-3.7413745,-1.4415065,-13.318668,-0.13419893,0.08509962,-6.5515566,3.1202543,2.0596564,-6.8465724
7,2.287734,24.08552,-9.061876,-117.24803,-8.166613,4.8247757,-16.288897,-6.7565255,-65.527374,-42.07821,-10.820617,-22.76884,-43.51513,13.713031,-9.457604,32.75898,-25.295132,-4.1743956,10.784641,21.19058,-24.417542,-3.268554,-22.61243,0.9826558,-7.511487,-17.694416,-24.548258,12.896085,-20.95788,13.008388,16.107758,5.9131193,-2.7653604,-0.5896946,-22.862,-16.979897,-31.789543,-2.5945668,-21.004057,-5.9587927,43.71637,-0.4695568,-18.871033,-5.762866,-1.3814135,-4.0835843,-2.791966,38.134354,8.288746,-12.544676,1.7303334,5.804952,-24.494793,4.4347696,-2.3082745,-7.5337005,5.612945,6.6222878,-1.3932571,3.6237597,-6.741446,-5.9929395,-6.448067,-7.497819,-17.591988,-3.16511,14.077552,19.071558,-9.538924,5.5188675,1.5602657,11.907296,-4.7700095,-1.6491542,-1.4825215,-3.9620583,7.350735,6.3709292,6.70773,-9.018785,3.897605,-1.4026614,-1.8141303,-0.8737766,4.5740566,2.2196534,-5.01638,-6.1263633,-0.20535429,1.7951516,-4.2785583,3.5216181,3.2599587,12.859455,-1.5443255,-1.2161081,-3.7407193,1.9954692,-5.713463,4.2502894,-4.7240944,0.30612063,-3.0283213,-3.030413,-4.9914303,1.0232508,-0.55741763,-10.254444,-2.3776493,-6.8344393,5.0463357,-22.444252,-10.143666,5.077027,2.8352003,3.975038,11.407781,9.803776,-8.517128,5.992896,16.40547,-0.725217,-7.6654468,-10.86065,-11.251015,3.5118587,10.175243,4.5962687
8,-173.5836,-5.407823,-2.6913707,-105.93736,83.14621,38.739452,43.653587,-13.310437,46.938213,-15.956904,43.29274,39.02956,13.040851,34.61232,-42.311214,1.2106277,-17.24412,14.916989,23.44836,32.711918,56.696194,8.119145,-57.277454,-36.36022,-24.256117,-9.682745,7.475771,-46.438404,23.84723,10.433402,32.15951,-42.3518,28.36247,27.877449,5.0579367,-28.697361,10.641099,-10.085171,50.050026,-35.113125,-52.597656,-16.41332,-25.23496,-26.203812,16.046585,-20.915451,11.823951,7.8814216,-23.093924,-8.002507,45.344955,10.5514,-13.416761,19.33068,7.7668676,4.423191,6.561291,29.539114,-12.07118,12.740178,-4.2622905,-21.542315,11.201761,-15.62438,5.973446,5.3818645,-16.681665,-16.503603,8.448335,-7.6198583,6.567801,7.0854483,4.267342,6.224694,-3.9913254,13.932187,19.5478,9.906094,-5.1645927,0.20651156,-19.37708,-12.902579,24.907478,1.3611673,-9.10321,-10.554246,10.9976,23.672293,-0.5150235,9.567984,-5.149325,16.693178,-9.577056,-4.2649345,5.676866,19.455677,-5.787576,8.596681,13.908059,-15.233908,4.974114,5.593142,6.5094156,-19.648664,12.715015,-5.200798,0.16141178,-4.5256515,-13.21895,-3.402889,-5.8764486,8.948176,6.4628644,5.8010154,11.733743,0.95306647,-7.5911803,9.986986,2.0187058,1.8397596,-4.7287636,2.9913447,-2.6024208,7.351935,-4.447393,3.8345277,2.2326803,-8.117098
9,51.76016,-138.94394,-255.99643,-62.567463,-55.68422,53.23305,30.66975,30.558016,16.56669,-109.53634,37.107586,-2.216177,65.348114,-19.585455,-4.8603144,-61.2249,8.819926,-7.8426523,18.805485,-70.779045,-16.77928,15.125364,63.196735,-2.9501736,-25.003368,61.264423,-2.90911,10.881143,-11.8479,12.057528,-4.657906,4.8513765,2.7091987,22.802092,-5.7330155,-10.8869505,2.6893365,-7.6824,16.259565,-15.545181,-11.434256,-8.860839,2.3732412,-5.790641,-0.45319727,-2.4550219,-3.2298005,4.4558363,-5.7045655,1.8955805,-9.605973,0.4021691,-1.7680322,-6.227819,18.547728,-6.600963,-2.0288482,-13.926577,4.335742,-12.521232,8.105212,2.3428826,6.7555723,2.5834677,-4.9083776,-4.959164,-14.146065,-1.175924,-10.825905,8.337359,-3.8440616,-1.6120619,-8.595312,6.4020257,-2.4619575,-4.9755535,3.1904252,4.3131456,-2.824421,-2.3207395,0.18528788,-4.1671586,7.9709888,0.8955215,5.9577837,1.9733422,8.7371025,6.5812697,-4.0749164,0.34287181,-1.8363801,6.988808,5.5998483,-2.2348547,3.0119195,1.036879,-5.572922,2.6203141,-0.41522726,4.5686903,1.3832581,0.39482763,2.7676172,-1.9719311,2.7612379,2.1212547,0.26445496,1.9181011,-4.9338694,4.6065335,2.8093858,-5.874345,-1.2716352,-0.8021088,0.29384992,1.3773172,0.07317491,9.4840555,6.082616,3.360151,1.6428225,3.288595,-1.7929364,-3.747276,-4.320204,-7.229334,-1.7469356,-1.9087182
